ABBREVIATE,O{EE--∅/------1Eii{2Eii{3Eii{4EiiO=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFF
ABOUT (v.2),O{EE--∅/------1FEE=2FFF=3FFF=4FFFO{EEfrd∅/frd1---1FEE=2FFF=3FFF=4FFF
ACCEPT,O{EE--∅/------1iEE{2iEE{3iEE{4iEEO{EEfrd∅/frd12--1FEE=2FEE=3FEE=4FEE
ACCOUNTING,O{iitd∅/td1---1iii{2iEE{3EEE{4EEEL{EE--∅/------1EEE=2EEE=3EEE=4EEE
ACQUIRE,O{EE--∅/------1Eii{2Eii{3Eii{4EiiO=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFF
ACT (v.3),U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO{EE--∅/------1Eii=2Eii=3Eii=4EiiO=iEfrd∅/rp-2--1iFi<2FFF=3FFF=4FFF
ADD (v.1),O{EE--∅/------1iEE{2iEE{3iEE{4iEEO{EEfrd∅/frd12--1FEE=2FEE=3FEE=4FEE
BABYSIT,L{EE--∅/------1FEE=2FEE=3FEE=4FEEO=EEfrd∅/rp-2--1EEE<2FEE=3FFE=4FFE
BAG (alt.),O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEU=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFU=EEfrp∅/rp1---1FEE=2FFF=3FFF=4FFF
BALL (v. 1 alt.),O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEU=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFL{EE--∅/------1EEE<2FFF=3FFF=4FFFL{EE--∅/------1EEE<2FFF=3FFF=4FFF
BALL (v.  2),O{iifrd∅/bd--3-1FEE{2FEE=3iii=4iiiL{EE--∅/------1EEE=2EEE=3EEE=4EEE
BALLOON,O=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFFO{EE--∅/------1Eii{2Eii{3Eii{4Eii
BANANA,O=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFFO{EE--∅/------1iEE<2FFF=3FFF=4FFFO{EEfrd∅/frd1---1FEE=2FFF=3FFF=4FFF
BAND-AID,O{iifrd∅/bd--3-1FEE=2FEE=3iii=4iiiU<EE--∅/------1iEE=2iEE=3iEE=4iEE
BANK,O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEU=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO=iifrd∅/rp--3-1Fii=2Fii<3FFE=4FFEO=EEfrd∅/rp-2--1EEE<2FEE=3FFE=4FFE
ADD (v.3),O{EE--∅/------1iEE{2iEE{3iEE{4iEEO{EEfrd∅/frd12--1FEE=2FEE=3FEE=4FEEO{EEfrd∅/frd12--1FEE=2FEE=3FEE=4FEE
ADDRESS (v.2),O{EEfrd∅/frd12--1FEE=2FEE=3FEE=4FEEO=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFF
ADMIRE (v.1),O{EE--∅/------1EEE{2FEE<3iEE{4EEEO{iifrd∅/frd-2--1EEE{2iiE<3iEE{4EEE
ADOPT (v.1),O{EE--∅/------1Eii{2Eii{3Eii{4EiiO=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFF
ADOPT (v.2),O{EE--∅/------1iEE{2iEE{3iEE{4iEEO{EEfrd∅/frd12--1FEE=2FEE=3FEE=4FEE
AFTER (v.1),L{EE--∅/------1EEE=2EEE=3EEE=4EEEU<EE--∅/------1iEE=2iEE=3iEE=4iEE
AFTER (v.3),L{EE--∅/------1EEE=2EEE=3EEE=4EEEL{EE--∅/------1EEE=2EEE=3EEE=4EEEL{EE--∅/------1FEE=2FEE=3FEE=4FEE
ADOPT (alt.),U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO{iitd∅/td-2--1EEE<2iii=3FFF=4FFFO=EEfrd∅/rp-2--1EEE<2FEE=3FFE=4FFEO=iEfrd∅/rp-2--1iFi<2FFF=3FFF=4FFFO{iitd∅/td12--1iii=2iii=3iii=4iii
ADULT (alt.),U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO{iitd∅/td-2--1EEE<2iii=3FFF=4FFFO{iifrd∅/bd--3-1EEE=2EEE<3iii=4iiiL{EE--∅/------1EEE<2FFF=3FFF=4FFFO=iEfrd∅/rp-2--1iFi<2FFF=3FFF=4FFF
BACK (v. 1 alt.),O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEU=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO{EE--∅/------1Eii=2Eii=3Eii=4EiiO=EEfrd∅/rp-2--1EEE<2FEE=3FFE=4FFE
BARELY (v. 2),O=EEtd∅/td1---1EFi<2FFF=3FFF=4FFFU=EEfrd∅/rm1---1iFi=2FFF=3FFF=4FFF
BARK (v. 1),L{EE--∅/------1FEE=2FEE=3FEE=4FEEL{EE--∅/------1EEE=2EEE=3EEE=4EEE
BARK (v. 2),L{EE--∅/------1EEE{2EEE{3EEE{4EEEL{EE--∅/------1Eii=2Eii=3Eii=4Eii
BASEMENT (v. 2),L{EE--∅/------1FFF=2FFF=3FFF=4FFFU<EE--∅/------1iEE=2iEE=3iEE=4iEE
BASIC,U<EE--∅/------1iEE=2iEE=3iEE=4iEEL{EE--∅/------1EEE=2EEE=3EEE=4EEE
(WASTE) BASKET,U<EE--∅/------1iEE=2iEE=3iEE=4iEEO=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFF
AGAIN,L{EE--∅/------1FEE=2FEE=3FEE=4FEEL{EE--∅/------1EEE=2EEE=3EEE=4EEE
AGAINST,L{EE--∅/------1EEE=2EEE=3EEE=4EEEL{EE--∅/------1FEE=2FEE=3FEE=4FEE
AGE (v.1),O=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFFO=iifrd∅/bm-2--1fff=2fff=3fff=4fff
AGENCY,U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFU=EEfrp∅/rp1---1FEE=2FFF=3FFF=4FFFO<Fibd∅/td123-1iFF=2iFF=3iFF=4iFFO=iifrd∅/rp--3-1Fii=2Fii<3FFE=4FFEO{EE--∅/------1Eii=2Eii=3Eii=4EiiL{EE--∅/------1FFE=2FFE=3FFE<4EEE
ALARM,O=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFFL{EE--∅/------1EEE=2EEE=3EEE=4EEE
BAT (v. 1),O=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFFO=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFF
BAT (v. 1 alt.),O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEU=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO=iEfrd∅/rp-2--1iFi<2FFF=3FFF=4FFF
BATHROOM (v. 2),O=iEfrd∅/rp-2--1iFi<2FFF=3FFF=4FFF
BATHTUB,L{EE--∅/------1FFF=2FFF=3FFF=4FFFO=iEfrd∅/rp-2--1iFi<2FFF=3FFF=4FFFO{iifrd∅/bd--3-1EEE=2EEE<3iii=4iiiO=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEE
DOLLAR (v. 1),O{EE--∅/------1Eii=2Eii=3Eii=4EiiL{EE--∅/------1EEE=2EEE=3EEE=4EEE
DOLLAR (v. 2),O{EE--∅/------1FEE=2FEE=3FEE=4FEEO{EEfrd∅/frd12--1FEE=2FEE=3FEE=4FEEL{EE--∅/------1EEE=2EEE=3EEE=4EEE
ALL (v.2),U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFL{EE--∅/------1EEE<2FFF=3FFF=4FFF
ALPHABET (v.1),U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEO{EE--∅/------1Eii=2Eii=3Eii=4EiiL{EE--∅/------1FEE{2FEE{3FEE{4FEE
ALPHABET (v.2),U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFL{EE--∅/------1EEE<2FFF=3FFF=4FFFO=EEfrd∅/rp-2--1EEE<2FEE=3FFE=4FFEO{iifrd∅/bd--3-1EEE=2EEE<3iii=4iiiO=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEO<Fibd∅/td123-1iFF=2iFF=3iFF=4iFFO=iEfrd∅/rp-2--1iFi<2FFF=3FFF=4FFFU=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFF
ANALYZE,O{iifrd∅/bd--3-1EEE{2EEE<3iii=4iiiO{iifrd∅/bd--3-1EFi{2EFi<3iii=4iii
AND,O{EE--∅/------1iEE{2iEE{3iEE{4iEEO{EEfrd∅/frd12--1FEE=2FEE=3FEE=4FEE
BATTERY (v. 1 alt.),O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEU=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO=iEfrd∅/rp-2--1iFi<2FFF=3FFF=4FFFO=iEfrd∅/rp-2--1iFi<2FFF=3FFF=4FFFO<Fibd∅/td123-1iFF=2iFF=3iFF=4iFFO=iifrd∅/bm--3-1EEEx2Eii<3FFE=4FFEL{EE--∅/------1FFE=2FFE=3FFE<4EEE
BEACH,O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEO<Fibd∅/td123-1iFF=2iFF=3iFF=4iFFU=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO{EE--∅/------1Eii=2Eii=3Eii=4EiiO{iifrd∅/bd--3-1EEE=2EEE<3iii=4iii
BEAK,O{EE--∅/------1FEE=2FFF=3FFF=4FFFO{EEfrd∅/frd1---1FEE=2FFF=3FFF=4FFF
BEAN,O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEO<Fibd∅/td123-1iFF=2iFF=3iFF=4iFFU=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO=iifrd∅/rp--3-1Fii=2Fii<3FFE=4FFE
BEAT (v. 1),O=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFFO=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFF
BEAT (v. 2),O=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFFO=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFF
BEAT (v. 3),O=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFFO{iifrd∅/bd--3-1EEE=2EEE<3iii=4iii
BEDROOM,L{EE--∅/------1EEE=2EEE=3EEE=4EEEL{EE--∅/------1EEE=2EEE=3EEE=4EEEL{EE--∅/------1FEE=2FEE=3FEE=4FEE
BEE (v. 1 alt.),O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEO<Fibd∅/td123-1iFF=2iFF=3iFF=4iFFO<Fibd∅/td123-1iFF=2iFF=3iFF=4iFF
BEE (v. 2),O{iitd∅/td1---1iii{2iEE{3EEE{4EEEO=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEE
BEER (alt.),O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEO<Fibd∅/td123-1iFF=2iFF=3iFF=4iFFO<Fibd∅/td123-1iFF=2iFF=3iFF=4iFFO=iifrd∅/bm--3-1EEEx2Eii<3FFE=4FFE
BEFORE (v. 1),L{EE--∅/------1EEE=2EEE=3EEE=4EEEL<EE--∅/------1EEE=2EEE=3EEE=4EEE
BEFORE (v. 3),O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEL{EE--∅/------1EEE=2EEE=3EEE=4EEE
BEFORE (v. 4),L{EE--∅/------1EEE=2EEE=3EEE=4EEEL{EE--∅/------1FEE=2FEE=3FEE=4FEE
BEFORE (v. 4 alt.),L{EE--∅/------1EEE=2EEE=3EEE=4EEEL{EE--∅/------1FEE=2FEE=3FEE=4FEE
APPEAR (v.2),L{EE--∅/------1EEE=2EEE=3EEE=4EEEO=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFF
BEG (v. 1),O{EE--∅/------1Eii{2Eii{3Eii{4EiiO=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFF
BEG (v. 2),L{EE--∅/------1Eii=2Eii=3Eii=4EiiU=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFF
BELIEVE (v. 1),O=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFFL{EE--∅/------1Eii=2Eii=3Eii=4EiiL{EE--∅/------1Eii=2Eii=3Eii=4Eii
BELL (v. 1),O=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFFL{EE--∅/------1EEE=2EEE=3EEE=4EEE
BELL (v. 2),L{EE--∅/------1FFF=2FFF=3FFF=4FFFL{EE--∅/------1EEE=2EEE=3EEE=4EEE
APPOINTMENT (v.1),O{iifrd∅/bd--3-1EEE{2EEE<3iii=4iiiO=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFF
APRIL,U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO=EEfrd∅/rp-2--1EEE<2FEE=3FFE=4FFEO=iifrd∅/bm--3-1EEEx2Eii<3FFE=4FFEO=iifrd∅/bm1---1FFE=2FFE=3FFE=4EEEL{EE--∅/------1EEE<2FFF=3FFF=4FFF
ARM,L{EE--∅/------1Eii{2Eii{3Eii{4EiiU<EE--∅/------1iEE=2iEE=3iEE=4iEE
ARREST (v.1),O{EE--∅/------1Eii{2Eii{3Eii{4EiiO=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFF
ARREST (v.1 alt.),O{EE--∅/------1Eii{2Eii{3Eii{4EiiO=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFF
ARREST (v.2),O{EE--∅/------1Eii{2Eii{3Eii{4EiiO=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFFO=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFF
ARREST (v.3),O{iifrd∅/bd--3-1EFi{2EFi<3iii=4iiiO=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFF
ARRIVE (v.1),L{EE--∅/------1FEE=2FEE=3FEE=4FEEL{EE--∅/------1EEE=2EEE=3EEE=4EEE
ART,O=iifrd∅/bm1---1FFE=2FFE=3FFE=4EEEL{EE--∅/------1EEE=2EEE=3EEE=4EEE
ARTICLE (v.1),L{EE--∅/------1EFi<2FFF=3FFF=4FFFL{EE--∅/------1EEE=2EEE=3EEE=4EEE
ASIA,U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFFO=iifrd∅/bm1---1FFE=2FFE=3FFE=4EEE
BENEFITS,U<EE--∅/------1iFi=2FFF=3FFF=4FFFU=EEfrd∅/rm1---1iFi=2FFF=3FFF=4FFF
BENEFITS (alt.),O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEO<Fibd∅/td123-1iFF=2iFF=3iFF=4iFFO=iifrd∅/rp--3-1Fii=2Fii<3FFE=4FFEO<Fibd∅/td123-1iFF=2iFF=3iFF=4iFFO{iitd∅/td1---1iii{2iEE{3EEE{4EEEO=iifrd∅/bm1---1FFE=2FFE=3FFE=4EEEO=iEfrd∅/rp-2--1iFi<2FFF=3FFF=4FFFO=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFF
BEST (v. 1),L{EE--∅/------1FEE=2FEE=3FEE=4FEEL{EE--∅/------1FFF=2FFF=3FFF=4FFF
BETTER (v. 1),L{EE--∅/------1FEE=2FEE=3FEE=4FEEL{EE--∅/------1FFF=2FFF=3FFF=4FFF
BETWEEN (v. 1),L{EE--∅/------1EEE=2EEE=3EEE=4EEEL{EE--∅/------1EEE{2EEE{3EEE{4EEE
ASK (v.1),O=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFFO=iifrd∅/bm-2--1EFi<2FFF=3FFF=4FFF
ASK (v.2),O=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFFO=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFF
ASK (v.4),O{ii--∅/------1iii{2iEE{3EEE{4EEEO{iitd∅/td1---1iii{2iEE{3EEE{4EEE
ASSIST (v.1),U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFL{EE--∅/------1EEE=2EEE=3EEE=4EEE
ASSISTANT,L{EE--∅/------1FFF=2FFF=3FFF=4FFFL{EE--∅/------1EEE<2FFF=3FFF=4FFF
ASTRONAUT,O=iifrd∅/bm--3-1EEEx2Eii<3FFE=4FFEU<EE--∅/------1iEE=2iEE=3iEE=4iEE
AT,U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO=iEfrd∅/rp-2--1iFi<2FFF=3FFF=4FFF
AUDITORIUM (v.1),U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO{iifrd∅/bd--3-1EEE=2EEE<3iii=4iiiO{iitd∅/td-2--1EEE<2iii=3FFF=4FFF
AUTOMATIC (v.1),O=iifrd∅/bm-2--1EFi<2FFF=3FFF=4FFFO=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFF
BIND (v. 2),U<EE--∅/------1Fii=2Fii=3Fii=4FiiL{EE--∅/------1EEE=2EEE=3EEE=4EEE
BIRTHDAY (v. 1),O=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFFL{EE--∅/------1EEE=2EEE=3EEE=4EEE
BIRTHDAY (v. 2),L{EE--∅/------1FEE=2FEE=3FEE=4FEEL{EE--∅/------1EEE=2EEE=3EEE=4EEE
BIRTHDAY (v. 3),L{EE--∅/------1FEE=2FEE=3FEE=4FEEL{EE--∅/------1Eii=2Eii=3Eii=4Eii
BIRTHDAY (v. 4),L{EE--∅/------1EEE=2EEE<3FFE=4FFEU<EE--∅/------1iEE=2iEE=3iEE=4iEE
BITE,O{EE--∅/------1Eii{2Eii{3Eii{4EiiO{iF--∅/------1EFi{2EFi{3EFi{4EFiU<EE--∅/------1iEE=2iEE=3iEE=4iEE
BLAME,L{EE--∅/------1FFF=2FFF=3FFF=4FFFU<EE--∅/------1iEE=2iEE=3iEE=4iEE
BLANK,L{EE--∅/------1EEE{2FEE{3iEE{4EEEU<EE--∅/------1iEE=2iEE=3iEE=4iEE
BLEED,L{EE--∅/------1EEE{2EEE{3EEE{4EEEL{EE--∅/------1EEE=2EEE=3EEE=4EEE
BLESS,U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFL{EE--∅/------1EEE=2EEE=3EEE=4EEE
BLINK,O{EE--∅/------1iEE<2FFF=3FFF=4FFFO{EE--∅/------1FEE=2FFF=3FFF=4FFF
BLOND (alt.),O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEL{EE--∅/------1EEE<2FFF=3FFF=4FFFO{iitd∅/td12--1iii=2iii=3iii=4iiiO=iifrd∅/rp--3-1Fii=2Fii<3FFE=4FFEO{iitd∅/td-2--1EEE<2iii=3FFF=4FFF
BLOOD (alt.),O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEL{EE--∅/------1EEE<2FFF=3FFF=4FFFO{iitd∅/td12--1iii=2iii=3iii=4iiiO{iitd∅/td12--1iii=2iii=3iii=4iiiO{iitd∅/td-2--1EEE<2iii=3FFF=4FFF
BLOOM,O{EEfrd∅/frd12--1FEE=2FEE=3FEE=4FEEO{EE--∅/------1iEE{2iEE{3iEE{4iEEO{EE--∅/------1Eii=2Eii=3Eii=4Eii
CARDS,U=EEfrd∅/rm1---1iFi=2FFF=3FFF=4FFFU<EE--∅/------1iFi=2FFF=3FFF=4FFFU=EEfrd∅/rm1---1iFi=2FFF=3FFF=4FFF
CARDS (alt.),O{EE--∅/------1Eii=2Eii=3Eii=4EiiU=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO=iifrd∅/bm--3-1EEEx2Eii<3FFE=4FFEO{iitd∅/td-2--1EEE<2iii=3FFF=4FFFO=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFF
CARROT,O{EE--∅/------1Eii=2Eii=3Eii=4EiiU=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO=iifrd∅/bm--3-1EEEx2Eii<3FFE=4FFEO{iitd∅/td12--1iii=2iii=3iii=4iiiO=iEfrd∅/rp-2--1iFi<2FFF=3FFF=4FFFO=iifrd∅/bm--3-1EEEx2Eii<3FFE=4FFE
BLOW (v. 1),O{iitd∅/td12--1iii=2iii=3iii=4iiiO{EE--∅/------1iEE{2iEE{3iEE{4iEE
BOARD (v. 4),O{iifrd∅/bd--3-1EFi{2EFi<3iii=4iiiL{EE--∅/------1EEE=2EEE=3EEE=4EEE
BONE (alt.),O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEO{iitd∅/td12--1iii=2iii=3iii=4iiiO=iifrd∅/rp--3-1Fii=2Fii<3FFE=4FFEO<Fibd∅/td123-1iFF=2iFF=3iFF=4iFF
BOOK (v. 2),O{iifrd∅/bd--3-1EEE{2EEE<3iii=4iiiO=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFF
BOOT (v. 1 alt.),O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEO{iitd∅/td12--1iii=2iii=3iii=4iiiO{iitd∅/td12--1iii=2iii=3iii=4iiiO=iEfrd∅/rp-2--1iFi<2FFF=3FFF=4FFF
BORED (v. 2),O{EE--∅/------1EEE{2EEE{3EEE{4EEEL{EE--∅/------1EFi{2EFi{3EFi{4EFiL{EE--∅/------1EEE{2EEE{3EEE{4EEE
BOSS (v. 1),O=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFFO=iifrd∅/bm-2--1FEE=2FFF=3FFF=4FFF
